DATE,A796RX0Q048SBEA
1950-01-01,3234
1950-04-01,3260
1950-07-01,3302
1950-10-01,3214
1951-01-01,3260
1951-04-01,3200
1951-07-01,3252
1951-10-01,3275
1952-01-01,3234
1952-04-01,3297
1952-07-01,3340
1952-10-01,3374
1953-01-01,3382
1953-04-01,3385
1953-07-01,3338
1953-10-01,3328
1954-01-01,3346
1954-04-01,3323
1954-07-01,3350
1954-10-01,3390
1955-01-01,3411
1955-04-01,3460
1955-07-01,3467
1955-10-01,3521
1956-01-01,3545
1956-04-01,3522
1956-07-01,3508
1956-10-01,3519
1957-01-01,3525
1957-04-01,3524
1957-07-01,3557
1957-10-01,3517
1958-01-01,3473
1958-04-01,3491
1958-07-01,3539
1958-10-01,3571
1959-01-01,3603
1959-04-01,3619
1959-07-01,3618
1959-10-01,3624
1960-01-01,3604
1960-04-01,3631
1960-07-01,3594
1960-10-01,3580
1961-01-01,3587
1961-04-01,3622
1961-07-01,3609
1961-10-01,3643
1962-01-01,3660
1962-04-01,3662
1962-07-01,3676
1962-10-01,3682
1963-01-01,3690
1963-04-01,3690
1963-07-01,3710
1963-10-01,3691
1964-01-01,3742
1964-04-01,3802
1964-07-01,3862
1964-10-01,3856
1965-01-01,3882
1965-04-01,3908
1965-07-01,3954
1965-10-01,4087
1966-01-01,4107
1966-04-01,4135
1966-07-01,4152
1966-10-01,4127
1967-01-01,4164
1967-04-01,4184
1967-07-01,4169
1967-10-01,4176
1968-01-01,4249
1968-04-01,4291
1968-07-01,4348
1968-10-01,4337
1969-01-01,4376
1969-04-01,4376
1969-07-01,4380
1969-10-01,4396
1970-01-01,4423
1970-04-01,4407
1970-07-01,4423
1970-10-01,4460
1971-01-01,4464
1971-04-01,4461
1971-07-01,4439
1971-10-01,4455
1972-01-01,4459
1972-04-01,4569
1972-07-01,4620
1972-10-01,4695
1973-01-01,4713
1973-04-01,4662
1973-07-01,4673
1973-10-01,4643
1974-01-01,4571
1974-04-01,4531
1974-07-01,4529
1974-10-01,4437
1975-01-01,4437
1975-04-01,4524
1975-07-01,4555
1975-10-01,4532
1976-01-01,4614
1976-04-01,4675
1976-07-01,4699
1976-10-01,4735
1977-01-01,4721
1977-04-01,4710
1977-07-01,4720
1977-10-01,4807
1978-01-01,4817
1978-04-01,4842
1978-07-01,4865
1978-10-01,4913
1979-01-01,4922
1979-04-01,4900
1979-07-01,4942
1979-10-01,4953
1980-01-01,4937
1980-04-01,4856
1980-07-01,4830
1980-10-01,4836
1981-01-01,4869
1981-04-01,4879
1981-07-01,4877
1981-10-01,4883
1982-01-01,4881
1982-04-01,4862
1982-07-01,4870
1982-10-01,4908
1983-01-01,4914
1983-04-01,4962
1983-07-01,5025
1983-10-01,5074
1984-01-01,5077
1984-04-01,5178
1984-07-01,5169
1984-10-01,5196
1985-01-01,5218
1985-04-01,5248
1985-07-01,5278
1985-10-01,5311
1986-01-01,5368
1986-04-01,5404
1986-07-01,5402
1986-10-01,5433
1987-01-01,5430
1987-04-01,5460
1987-07-01,5451
1987-10-01,5444
1988-01-01,5492
1988-04-01,5524
1988-07-01,5547
1988-10-01,5591
1989-01-01,5605
1989-04-01,5601
1989-07-01,5642
1989-10-01,5690
1990-01-01,5670
1990-04-01,5659
1990-07-01,5648
1990-10-01,5571
1991-01-01,5557
1991-04-01,5572
1991-07-01,5561
1991-10-01,5495
1992-01-01,5560
1992-04-01,5565
1992-07-01,5577
1992-10-01,5614
1993-01-01,5603
1993-04-01,5630
1993-07-01,5667
1993-10-01,5688
1994-01-01,5749
1994-04-01,5777
1994-07-01,5808
1994-10-01,5852
1995-01-01,5857
1995-04-01,5869
1995-07-01,5871
1995-10-01,5884
1996-01-01,5907
1996-04-01,5966
1996-07-01,5989
1996-10-01,6018
1997-01-01,6039
1997-04-01,6025
1997-07-01,6101
1997-10-01,6125
1998-01-01,6153
1998-04-01,6211
1998-07-01,6236
1998-10-01,6301
1999-01-01,6401
1999-04-01,6443
1999-07-01,6452
1999-10-01,6564
2000-01-01,6490
2000-04-01,6603
2000-07-01,6628
2000-10-01,6674
2001-01-01,6619
2001-04-01,6635
2001-07-01,6648
2001-10-01,6687
2002-01-01,6697
2002-04-01,6686
2002-07-01,6685
2002-10-01,6756
2003-01-01,6788
2003-04-01,6823
2003-07-01,6932
2003-10-01,6963
2004-01-01,7002
2004-04-01,7009
2004-07-01,7045
2004-10-01,7091
2005-01-01,7167
2005-04-01,7183
2005-07-01,7181
2005-10-01,7285
2006-01-01,7329
2006-04-01,7337
2006-07-01,7354
2006-10-01,7458
2007-01-01,7457
2007-04-01,7425
2007-07-01,7416
2007-10-01,7392
2008-01-01,7335
2008-04-01,7370
2008-07-01,7255
2008-10-01,7128
2009-01-01,7119
2009-04-01,7053
2009-07-01,7063
2009-10-01,7083
2010-01-01,7127
2010-04-01,7148
2010-07-01,7178
2010-10-01,7255
2011-01-01,7277
2011-04-01,7267
2011-07-01,7233
2011-10-01,7228
2012-01-01,7252
2012-04-01,7247
2012-07-01,7249
2012-10-01,7230
2013-01-01,7286
2013-04-01,7290
2013-07-01,7320
2013-10-01,7369
2014-01-01,7374
2014-04-01,7415
2014-07-01,7455
2014-10-01,7522
2015-01-01,7555
2015-04-01,7590
2015-07-01,7650
2015-10-01,7677
2016-01-01,7715
2016-04-01,7793
2016-07-01,7779
2016-10-01,7812
